
2024/12/12 (10:19:36) | ===> btop++ v.1.4.0
2024/12/12 (10:19:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (10:20:32) | ===> btop++ v.1.4.0
2024/12/12 (10:20:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (10:20:54) | ===> btop++ v.1.4.0
2024/12/12 (10:20:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (10:21:01) | ===> btop++ v.1.4.0
2024/12/12 (10:21:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (10:22:01) | ===> btop++ v.1.4.0
2024/12/12 (10:22:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (13:07:01) | ===> btop++ v.1.4.0
2024/12/12 (13:07:01) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (13:07:01) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (20:20:34) | ===> btop++ v.1.4.0
2024/12/12 (20:20:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (20:20:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (20:20:57) | ===> btop++ v.1.4.0
2024/12/12 (20:20:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (20:20:57) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (20:39:32) | ===> btop++ v.1.4.0
2024/12/12 (20:39:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (20:39:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (21:03:36) | ===> btop++ v.1.4.0
2024/12/12 (21:03:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (21:03:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (22:38:58) | ===> btop++ v.1.4.0
2024/12/12 (22:38:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (22:38:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (23:29:19) | ===> btop++ v.1.4.0
2024/12/12 (23:29:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/12 (23:29:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (02:08:35) | ===> btop++ v.1.4.0
2024/12/13 (02:08:35) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/13 (02:08:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (15:56:15) | ===> btop++ v.1.4.0
2024/12/13 (15:56:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/13 (15:56:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (21:20:13) | ===> btop++ v.1.4.0
2024/12/13 (21:20:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/13 (21:20:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/13 (22:59:19) | ===> btop++ v.1.4.0
2024/12/13 (22:59:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/13 (22:59:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/14 (23:17:09) | ===> btop++ v.1.4.0
2024/12/14 (23:17:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/14 (23:17:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (23:42:13) | ===> btop++ v.1.4.0
2024/12/15 (23:42:13) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/15 (23:42:13) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (16:14:16) | ===> btop++ v.1.4.0
2024/12/17 (16:14:16) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/17 (16:14:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/21 (22:51:56) | ===> btop++ v.1.4.0
2024/12/21 (22:51:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/21 (22:51:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (00:42:34) | ===> btop++ v.1.4.0
2024/12/22 (00:42:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/22 (00:42:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/23 (12:50:34) | ===> btop++ v.1.4.0
2024/12/23 (12:50:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/12/23 (12:50:34) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/25 (19:27:59) | ===> btop++ v.1.4.0
2024/12/25 (19:27:59) | WARNING: Intel GPU: Failed to initialize PMU
